yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2010,AL,DET,DET,C,3,162,81,81,81,N,N,N,N,751,5643,1515,308,32,152,546,1147,69,30,41,41,743,690,4.3,6,5,32,4333,1445,142,537,1056,136,171,0.98,Detroit Tigers,Comerica Park,2461237,101,101,DET,DET,DET
2010,AL,CLE,CLE,C,4,162,81,69,93,N,N,N,N,646,5487,1362,290,20,128,545,1184,91,33,64,33,752,684,4.3,10,4,34,4299,1477,147,572,967,126,179,0.98,Cleveland Indians,Jacobs Field,1394812,93,93,CLE,CLE,CLE
2010,AL,KCA,KCR,C,5,162,81,67,95,N,N,N,N,676,5604,1534,279,31,121,471,905,115,50,35,53,845,794,4.97,7,3,44,4310,1553,176,551,1035,138,138,0.98,Kansas City Royals,Kauffman Stadium,1615324,99,101,KCR,KCA,KCA
2010,AL,TBA,TBD,E,1,162,81,96,66,Y,N,N,N,802,5439,1343,295,37,160,672,1292,172,47,57,57,649,611,3.78,6,12,51,4361,1347,175,478,1189,95,134,0.98,Tampa Bay Rays,Tropicana Field,1843445,96,95,TBR,TBA,TBA
2010,AL,NYA,NYY,E,2,162,81,95,67,N,Y,N,N,859,5567,1485,275,32,201,662,1136,103,30,73,44,693,651,4.06,3,8,39,4327,1349,179,540,1154,79,161,0.98,New York Yankees,Yankee Stadium III,3765807,105,103,NYY,NYA,NYA
2010,AL,BOS,BOS,E,3,162,81,89,73,N,N,N,N,818,5646,1511,358,22,211,587,1140,68,17,47,46,744,679,4.2,3,9,44,4370,1402,152,580,1207,127,132,0.98,Boston Red Sox,Fenway Park II,3046443,106,105,BOS,BOS,BOS
2010,AL,TOR,TOR,E,4,162,78,85,77,N,N,N,N,755,5495,1364,319,21,257,471,1164,58,20,55,34,728,676,4.23,5,11,45,4322,1407,150,539,1184,102,172,0.98,Toronto Blue Jays,Rogers Centre,1625555,100,100,TOR,TOR,TOR
2010,AL,BAL,BAL,E,5,162,81,66,96,N,N,N,N,613,5554,1440,264,21,133,424,1056,76,34,54,45,785,733,4.59,3,7,35,4309,1508,186,520,1007,123,141,0.98,Baltimore Orioles,Oriole Park at Camden Yards,1733018,101,102,BAL,BAL,BAL
2010,AL,TEX,TEX,W,1,162,81,90,72,Y,N,Y,N,787,5635,1556,268,25,162,511,986,123,48,45,54,687,636,3.93,7,8,46,4366,1355,162,551,1181,123,132,0.98,Texas Rangers,Rangers Ballpark in Arlington,2505171,105,104,TEX,TEX,TEX
2010,AL,OAK,OAK,W,2,162,81,81,81,N,N,N,N,663,5448,1396,276,30,109,527,1061,156,38,47,51,626,566,3.58,7,17,38,4295,1315,153,512,1070,110,146,0.98,Oakland Athletics,Oakland-Alameda Country Coliseum,1418391,100,100,OAK,OAK,OAK
2010,AL,LAA,ANA,W,3,162,81,80,82,N,N,N,N,681,5488,1363,276,19,155,466,1070,104,52,52,37,702,651,4.04,10,9,39,4348,1422,148,565,1130,131,116,0.98,Los Angeles Angels of Anaheim,Angel Stadium,3250816,98,98,LAA,ANA,ANA
2010,AL,SEA,SEA,W,4,162,81,61,101,N,N,N,N,513,5409,1274,227,16,101,459,1184,142,39,39,40,698,628,3.95,11,10,38,4314,1402,157,452,973,122,146,0.98,Seattle Mariners,Safeco Field,2085488,93,95,SEA,SEA,SEA
2010,NL,CIN,CIN,C,1,162,81,91,71,Y,N,N,N,790,5579,1515,293,30,188,522,1218,93,43,68,50,685,648,4.02,4,9,43,4359,1404,158,524,1130,86,140,0.98,Cincinnati Reds,Great American Ball Park,2060550,99,99,CIN,CIN,CIN
2010,NL,SLN,STL,C,2,162,81,86,76,N,N,N,N,736,5542,1456,285,18,150,541,1027,79,41,50,40,641,577,3.57,7,16,32,4361,1412,133,477,1094,109,170,0.98,St. Louis Cardinals,Busch Stadium III,3301218,97,97,STL,SLN,SLN
2010,NL,MIL,MIL,C,3,162,81,77,85,N,N,N,N,750,5606,1471,293,33,182,546,1216,81,26,81,35,804,733,4.59,3,7,35,4317,1487,173,582,1258,115,141,0.98,Milwaukee Brewers,Miller Park,2776531,98,98,MIL,ML4,MIL
2010,NL,HOU,HOU,C,4,162,81,76,86,N,N,N,N,611,5452,1348,252,25,108,415,1025,100,36,33,29,729,654,4.09,4,11,45,4318,1446,140,548,1210,118,135,0.98,Houston Astros,Minute Maid Park,2331490,95,96,HOU,HOU,HOU
2010,NL,CHN,CHC,C,5,162,81,75,87,N,N,N,N,685,5512,1414,298,27,149,479,1236,55,31,50,38,767,668,4.24,1,14,40,4310,1409,154,605,1268,144,135,0.98,Chicago Cubs,Wrigley Field,3062973,108,108,CHC,CHN,CHN
2010,NL,PIT,PIT,C,6,162,81,57,105,N,N,N,N,587,5386,1303,276,27,126,463,1207,87,36,33,33,866,784,5,1,6,31,4235,1567,167,538,1026,142,119,0.98,Pittsburgh Pirates,PNC Park,1613399,99,101,PIT,PIT,PIT
2010,NL,PHI,PHI,E,1,162,84,97,65,Y,N,N,N,772,5581,1451,290,34,166,560,1064,108,21,63,43,640,594,3.68,14,21,40,4369,1402,168,416,1183,93,156,0.98,Philadelphia Phillies,Citizens Bank Park,3647249,101,100,PHI,PHI,PHI
2010,NL,ATL,ATL,E,2,162,81,91,71,N,Y,N,N,738,5463,1411,312,25,139,634,1140,63,29,51,35,629,569,3.57,2,9,41,4318,1326,126,505,1241,145,165,0.98,Atlanta Braves,Turner Field,2510119,98,97,ATL,ATL,ATL
2010,NL,FLO,FLA,E,3,162,81,80,82,N,N,N,N,719,5531,1403,294,37,152,514,1375,92,26,55,43,717,652,4.09,5,17,39,4315,1433,134,549,1168,141,130,0.98,Florida Marlins,Dolphin Stadium,1535226,105,104,FLA,FLO,FLO
2010,NL,NYN,NYM,E,4,162,81,79,83,N,N,N,N,656,5465,1361,266,40,128,502,1095,130,44,46,57,652,597,3.73,8,19,36,4359,1438,135,545,1106,96,160,0.98,New York Mets,Citi Field,2559738,97,97,NYM,NYN,NYN
2010,NL,WAS,WSN,E,5,162,81,69,93,N,N,N,N,655,5418,1355,250,31,149,503,1220,110,41,60,47,742,658,4.13,2,5,37,4305,1469,151,512,1068,142,146,0.98,Washington Nationals,Nationals Park,1828066,99,100,WSN,MON,WAS
2010,NL,SFN,SFG,W,1,162,81,92,70,Y,N,Y,Y,697,5488,1411,284,30,162,487,1099,55,32,50,41,583,546,3.36,6,17,57,4383,1279,134,578,1331,80,110,0.98,San Francisco Giants,AT&T Park,3037443,101,101,SFG,SFN,SFN
2010,NL,SDN,SDP,W,2,162,81,90,72,N,N,N,N,665,5434,1338,236,24,132,538,1183,124,50,50,46,581,549,3.41,2,20,49,4369,1305,139,517,1295,85,142,0.98,San Diego Padres,Petco Park,2131774,91,91,SDP,SDN,SDN
2010,NL,COL,COL,W,3,162,81,83,79,N,N,N,N,770,5530,1452,270,54,173,585,1274,99,42,47,47,717,663,4.14,6,12,35,4326,1405,139,525,1234,113,182,0.98,Colorado Rockies,Coors Field,2875245,115,115,COL,COL,COL
2010,NL,LAN,LAD,W,4,162,81,80,82,N,N,N,N,667,5426,1368,270,29,120,533,1184,92,50,46,50,692,643,4.01,4,16,41,4325,1323,134,539,1274,114,122,0.98,Los Angeles Dodgers,Dodger Stadium,3562320,95,95,LAD,LAN,LAN
2010,NL,ARI,ARI,W,5,162,81,65,97,N,N,N,N,713,5473,1366,301,34,180,589,1529,86,41,39,41,836,765,4.81,3,3,35,4296,1503,210,548,1070,121,152,0.98,Arizona Diamondbacks,Chase Field,2056941,104,105,ARI,ARI,ARI
